analysis	network	component	condition_contrast	design_contrast	direction	inference	design_con_valid	group_input_exists	expected_participants	group_input_volumes	group_input_complete	completion_marker_exists	tstat_exists	corrp_exists	peak_corrp	peak_gt_threshold	status	corrp_file	copied_image	copied_sidecar
0	dmn	23	both-minus-sham	C1	positive	tfce	true	true	27	27	true	true	true	true	0.4586	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-sham_tfce_corrp_tstat1.nii.gz		
0	dmn	23	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.041	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz		
0	dmn	23	both-minus-sham	C2	negative	tfce	true	true	27	27	true	true	true	true	0.4818	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-sham_tfce_corrp_tstat2.nii.gz		
0	dmn	23	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.3386	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz		
0	dmn	23	both-minus-rtpj	C1	positive	tfce	true	true	27	27	true	true	true	true	0.4614	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-rtpj_tfce_corrp_tstat1.nii.gz		
0	dmn	23	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.0346	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz		
0	dmn	23	both-minus-rtpj	C2	negative	tfce	true	true	27	27	true	true	true	true	0.6384	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-rtpj_tfce_corrp_tstat2.nii.gz		
0	dmn	23	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.3114	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz		
0	dmn	23	both-minus-vlpfc	C1	positive	tfce	true	true	27	27	true	true	true	true	0.2726	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-vlpfc_tfce_corrp_tstat1.nii.gz		
0	dmn	23	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.3418	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz		
